Location,Burrito,Date,Neighborhood,Yelp,Google,Cost,Tortilla,Temp,Meat,Fillings,Overall
Cortez Mexican Food,California ,10/7/16,Bonsall,4.2,4,6.25,3.5,4,2.5,3,3.2
California Burrito Company,Dave's California,10/12/16,Miramar,3.5,4.4,6.5,3,2.5,2.5,3,3.3
Taco Stand Encinitas,California ,10/29/16,Encinitas,4,4.4,7.49,2,3.5,4.2,4.3,4.2
Ortiz's Taco Shop #2,California,11/2/16,Pacific Beach,4,4.2,6.39,4,4,4,4,4.25
El Portal Fresh Mexican Grill,Mahi,11/6/16,Clairemont,4,4.4,7.35,4,4,3.5,2,3.1
Famoso Mexican Street Food,Cali Diablo,11/14/16,Downtown,4.5,3.9,10.5,2,2.5,3.3,3.5,3.1
Los Panchos Taco Shop,California,11/23/16,Hillcrest,3,3.4,6.25,3.5,5,4,3,3.7
El Pollo Loco,Chicken avocado,11/27/16,Oceanside,3.5,4.1,5.99,2,3,3.8,2.5,3.2
Gloria's Taco Shop,California ,12/2/16,South Park,4,4.3,5.65,4,1.5,2,3,2.7
Mr. Ruribertos Taco Shop ,California,12/10/16,Mission Beach,3.5,3.7,7.75,3.5,2.5,3,3.3,2.9
Mister Falafel,Chicken Shawarma,12/15/16,Clairemont,4.5,4.6,6.99,3.6,4,4,3,3.5
Lupe's Taco Shop,Hot cheetos,1/12/17,Linda Vista,3.5,4.5,7.29,3,2,3.5,3.5,3.7
Cotixan,California,2/23/17,Clairemont,4,4,7.19,4,2,3,3.8,3.5
Lourdes,Carnitas,3/3/17,Encinitas,4,4.7,7.35,3.5,3,3.5,3,3.75
Los palmitos,California,4/23/17,Clairemont,4,4.1,7.1,4.5,5,3.8,3.8,4.3
Filiberto's,Adobada,5/2/17,Encinitas,3,3.8,6.25,4.2,4.5,4,3,3.7
Don Carlos Taco Shop,California,5/9/17,La Jolla,4,4.5,7.75,3.5,4.2,3.3,3.7,3.7
Los Tacos 2,Al pastor tradicional ,5/13/17,Oceanside,4.5,5,8.25,4,,4,3,3.6
Roberto's Taco Shop Hillcrest,Asada,5/30/17,Hillcrest,4,4.2,7,4,4,2,2.5,2.8
Caliente Mexican Food,carne asada ,7/6/17,Sorrento Valley,3.5,4.4,5.56,2.5,3,2.5,3.5,3.5
Burrito Factory,Steak everything ,7/13/17,Austin,4.5,4.8,7.35,3.2,3,3.5,3.5,3.5
Lalo's Tacos,California,8/11/17,Hillcrest,3,3.9,7.75,3.75,5,3,3.5,2.8
Kotija Jr,California,8/19/17,Del Mar,4,4.2,6.99,4,5,3.5,3.8,3.7
Burrito Box,Steak with guacamole,12/16/17,New York,4,4.5,11.5,2,2,4,3.5,3.5
El Patron,Breakfast,1/9/18,National City,4.5,3.8,4.19,3,5,2,2,2
La Posta de Acapulco,California,1/12/18,Hillcrest,3.5,4.3,7,5,5,5,5,4.8
Lucha Libre Carlsbad ,Alambre california,4/21/18,Carlsbad,3.5,3.8,8.5,3.8,4,4,4,4.1
